keyword,display_name,include_hiring,image_path
python,Python,true,python.svg
javascript,JavaScript,true,javascript.svg
typescript,TypeScript,true,typescript.svg
java,Java,true,java.svg
c++,C++,true,c++.svg
c#,C#,true,csharp.svg
rust,Rust,true,rust.svg
php,PHP,true,php.svg
kotlin,Kotlin,true,kotlin.svg
dart,Dart,true,dart.svg
swift,Swift,true,swift.svg
ruby,Ruby,true,ruby.svg
scala,Scala,true,scala.svg
julia,Julia,true,julia.svg
elixir,Elixir,true,elixir.svg
erlang,Erlang,true,erlang.svg
clojure,Clojure,true,clojure.svg
perl,Perl,true,perl.svg
f#,F#,true,fsharp.svg
zig,Zig,true,zig.svg
nim,Nim,true,nim.svg
ocaml,OCaml,true,ocaml.svg
haskell,Haskell,true,haskell.svg
fortran,Fortran,true,fortran.svg
postgresql,PostgreSQL,true,postgresql.svg
mysql,MySQL,true,mysql.svg
redis,Redis,true,redis.svg
kafka,Kafka,true,kafka.svg
docker,Docker,true,docker.svg
kubernetes,Kubernetes,true,kubernetes.svg
terraform,Terraform,true,terraform.svg
mongodb,MongoDB,true,mongodb.svg
sqlite,SQLite,true,sqlite.svg
elasticsearch,Elasticsearch,true,elasticsearch.svg
mariadb,MariaDB,true,mariadb.svg
neo4j,Neo4j,true,neo4j.svg
chatgpt,ChatGPT,false,chatgpt.svg
bitcoin,Bitcoin,false,bitcoin.svg
