keyword,display_name,include_hiring
python,Python,true
javascript,JavaScript,true
typescript,TypeScript,true
java,Java,true
c++,C++,true
c#,C#,true
c,C,true
rust,Rust,true
php,PHP,true
kotlin,Kotlin,true
dart,Dart,true
swift,Swift,true
ruby,Ruby,true
scala,Scala,true
julia,Julia,true
elixir,Elixir,true
erlang,Erlang,true
clojure,Clojure,true
perl,Perl,true
f#,F#,true
zig,Zig,true
ocaml,OCaml,true
haskell,Haskell,true
fortran,Fortran,true
postgresql,PostgreSQL,true
mysql,MySQL,true
redis,Redis,true
kafka,Kafka,true
docker,Docker,true
kubernetes,Kubernetes,true
terraform,Terraform,true
mongodb,MongoDB,true
sqlite,SQLite,true
elasticsearch,Elasticsearch,true
mariadb,MariaDB,true
neo4j,Neo4j,true
chatgpt,ChatGPT,false
bitcoin,Bitcoin,false
